,loss,denormed_loss,r2,absolute_percentage_error,root_mse,absolute_error,squared_error
Mean,0.024394458904862405,433.54628601074216,0.9762266903117733,0.07434176653623581,20.130998611450195,11.598604202270508,433.5462951660156
Standard Deviation,0.015274145049478062,253.66211426662215,0.01095499686848114,0.014574239030480385,5.946552753448486,3.070768356323242,253.662109375
