,loss,denormed_loss,r2,absolute_percentage_error,root_mse,absolute_error,squared_error
Mean,0.029591477662324905,524.8645172119141,0.9713571341312704,0.08235720545053482,22.136051177978516,12.656744003295898,524.864501953125
Standard Deviation,0.017753377517051114,292.4714803769962,0.012205844108140946,0.01702570542693138,6.601108074188232,3.802138566970825,292.4714660644531
