,loss,denormed_loss,r2,absolute_percentage_error,root_mse,absolute_error,squared_error
Mean,0.02470820490270853,436.6737396240234,0.9764199701907554,0.0781569704413414,19.991897583007812,11.815251350402832,436.67376708984375
Standard Deviation,0.016457391464973836,270.7529032195516,0.011159087694194447,0.02417902648448944,6.800535678863525,4.055971145629883,270.7528991699219
