accuracy@4,precision@4,recall@4,F1@4,accuracy@3,precision@3,recall@3,F1@3,accuracy@2,precision@2,recall@2,F1@2
0.9462,0.8996,0.9656,0.9279,0.9462,0.9029,0.9608,0.9272,0.9462,0.9423,0.9453,0.9437
0.8497,0.796,0.8828,0.8237,0.9346,0.8871,0.9102,0.8978,0.9346,0.9148,0.9262,0.9202
0.9023,0.833,0.8896,0.8565,0.9195,0.876,0.9097,0.8898,0.9195,0.9212,0.9158,0.918
0.9398,0.8885,0.9548,0.9159,0.9624,0.9138,0.9786,0.9406,0.9624,0.9583,0.9679,0.9617
0.9134,0.9349,0.883,0.8997,0.937,0.9531,0.9401,0.9441,0.937,0.9418,0.9359,0.9367
0.8814,0.8404,0.856,0.8457,0.9278,0.9085,0.9323,0.9196,0.9381,0.9345,0.9345,0.9345
0.9385,0.9039,0.9405,0.9142,0.9462,0.8838,0.9575,0.9105,0.9538,0.9592,0.9447,0.9509
0.8366,0.7869,0.8483,0.8023,0.9281,0.8807,0.8672,0.873,0.9281,0.9134,0.9075,0.9104
0.8908,0.8188,0.8515,0.8323,0.9195,0.8712,0.8798,0.8737,0.9195,0.9233,0.9144,0.9177
0.9474,0.9037,0.9567,0.9257,0.9624,0.9171,0.975,0.9406,0.9624,0.9589,0.9653,0.9615
0.9134,0.9494,0.8854,0.8986,0.9291,0.9492,0.9516,0.9464,0.9291,0.9392,0.9274,0.9285
0.9072,0.8755,0.8775,0.8739,0.9433,0.9153,0.941,0.9259,0.9588,0.9649,0.9485,0.9556
0.9154,0.8454,0.9295,0.8744,0.9154,0.8499,0.9363,0.8801,0.9231,0.9221,0.9159,0.9188
0.8105,0.7501,0.7918,0.762,0.915,0.8572,0.8514,0.853,0.9216,0.903,0.903,0.903
0.9023,0.8551,0.8207,0.831,0.9368,0.8768,0.8978,0.8867,0.9368,0.9355,0.9366,0.936
0.9173,0.8861,0.8713,0.8661,0.9474,0.9015,0.9664,0.9283,0.9474,0.9432,0.9524,0.9464
0.9134,0.9332,0.883,0.8989,0.9449,0.9584,0.9455,0.95,0.9449,0.9484,0.9439,0.9447
0.8918,0.8667,0.8666,0.8663,0.933,0.9252,0.9344,0.9295,0.9433,0.9434,0.936,0.9394
